customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age
116,0,49,7.0,2,1,2.0,18.0
117,1,75,7.0,1,0,15.0,35.0
118,0,43,,3,0,19.0,58.0
119,0,9,,3,1,9.0,36.0
120,0,80,2.0,3,1,4.0,39.0
121,0,82,7.0,1,0,15.0,60.0
122,0,87,2.0,1,1,12.0,38.0
123,1,85,2.0,3,0,15.0,29.0
124,1,27,1.0,3,1,5.0,22.0
125,1,94,3.0,1,0,16.0,57.0
126,0,53,1.0,1,1,3.0,25.0
127,1,81,2.0,1,0,19.0,43.0
128,0,73,3.0,1,1,12.0,40.0
129,0,64,2.0,3,1,19.0,32.0
130,0,32,7.0,1,0,1.0,20.0
131,1,57,5.0,3,0,8.0,53.0
132,1,5,7.0,1,1,9.0,54.0
133,0,12,2.0,1,1,16.0,40.0
134,1,34,8.0,2,1,5.0,20.0
135,1,18,4.0,1,0,3.0,42.0
136,0,46,7.0,3,1,7.0,44.0
137,0,27,3.0,3,0,10.0,30.0
138,0,5,2.0,2,1,13.0,32.0
139,0,1,8.0,2,0,4.0,53.0
140,0,9,7.0,1,0,2.0,23.0
141,0,67,2.0,3,1,10.0,63.0
142,0,57,1.0,2,0,17.0,50.0
143,0,19,6.0,1,1,11.0,60.0
144,2,71,4.0,1,0,11.0,40.0
145,0,33,2.0,1,0,4.0,20.0
146,0,34,7.0,1,0,8.0,32.0
147,1,32,1.0,1,1,10.0,44.0
148,1,69,,1,1,5.0,36.0
149,1,41,1.0,1,1,1.0,22.0
150,0,6,2.0,2,0,17.0,34.0
151,0,36,7.0,1,1,13.0,52.0
152,1,5,2.0,1,0,16.0,36.0
153,1,73,9.0,1,1,12.0,40.0
154,1,90,,1,0,11.0,59.0
155,0,4,7.0,1,0,10.0,32.0
156,1,23,2.0,1,1,11.0,38.0
157,0,97,2.0,2,0,16.0,43.0
158,0,99,,2,0,5.0,33.0
159,0,90,1.0,2,0,13.0,30.0
160,0,5,1.0,1,0,18.0,53.0
161,0,49,,1,0,16.0,41.0
162,0,90,4.0,1,0,15.0,38.0
163,1,58,9.0,3,1,14.0,41.0
164,1,55,5.0,2,1,1.0,18.0
165,0,61,6.0,1,1,12.0,33.0
166,0,54,7.0,2,0,6.0,62.0
167,1,95,1.0,3,1,17.0,48.0
168,2,8,4.0,2,1,11.0,40.0
169,0,20,8.0,3,1,5.0,60.0
170,0,80,1.0,3,0,21.0,42.0
171,1,62,7.0,1,0,10.0,47.0
172,0,54,7.0,2,1,6.0,29.0
173,1,99,1.0,2,0,1.0,20.0
174,1,93,1.0,1,0,12.0,28.0
175,0,36,7.0,2,0,5.0,42.0
176,0,39,3.0,1,0,10.0,25.0
177,1,25,2.0,3,0,4.0,28.0
178,0,2,,2,0,8.0,50.0
179,0,23,7.0,3,1,6.0,51.0
180,1,16,6.0,2,0,14.0,46.0
181,1,49,7.0,1,0,9.0,35.0
182,0,99,2.0,2,1,7.0,25.0
183,1,7,5.0,2,0,3.0,20.0
184,0,40,7.0,3,1,7.0,46.0
185,0,80,3.0,1,1,13.0,38.0
186,1,46,2.0,1,0,3.0,43.0
187,0,97,,1,0,11.0,63.0
188,1,54,3.0,3,1,13.0,42.0
189,0,73,2.0,2,0,10.0,36.0
190,1,42,1.0,2,0,10.0,38.0
191,0,22,,2,1,6.0,57.0
192,1,2,1.0,1,1,8.0,39.0
193,0,13,7.0,1,1,12.0,53.0
194,1,4,2.0,2,0,10.0,43.0
195,1,34,7.0,1,0,6.0,59.0
196,0,90,7.0,3,0,6.0,51.0
197,1,32,,3,0,5.0,40.0
198,1,82,9.0,1,0,16.0,36.0
199,1,61,1.0,1,1,21.0,39.0
200,0,7,3.0,2,1,19.0,60.0
201,0,45,7.0,1,1,11.0,51.0
202,1,38,9.0,2,1,16.0,54.0
203,0,71,6.0,1,1,11.0,53.0
204,0,56,2.0,1,0,5.0,41.0
205,0,18,2.0,1,1,6.0,59.0
206,1,98,,1,1,14.0,63.0
207,1,9,,1,0,7.0,23.0
208,0,57,3.0,3,0,5.0,23.0
209,0,9,,2,1,6.0,60.0
210,0,50,3.0,1,0,18.0,54.0
211,1,6,7.0,1,1,5.0,43.0
212,1,21,4.0,2,0,1.0,16.0
213,0,13,2.0,3,1,6.0,21.0
214,0,82,1.0,1,0,6.0,60.0
215,1,37,5.0,3,1,18.0,43.0
216,1,12,2.0,3,1,7.0,22.0
217,1,63,7.0,3,0,16.0,38.0
218,1,37,3.0,3,1,8.0,24.0
219,0,9,1.0,1,0,7.0,53.0
220,1,79,7.0,3,0,9.0,63.0
221,1,14,7.0,1,0,14.0,37.0
222,0,89,1.0,1,0,16.0,39.0
223,0,13,,2,1,14.0,34.0
224,0,2,2.0,2,0,17.0,50.0
225,1,84,1.0,2,0,13.0,40.0
226,0,96,7.0,1,0,20.0,40.0
227,0,99,9.0,1,0,18.0,44.0
228,1,59,7.0,3,0,12.0,31.0
229,0,30,3.0,3,0,19.0,51.0
230,1,74,3.0,3,0,11.0,63.0
231,0,48,2.0,1,1,3.0,22.0
232,1,94,5.0,1,0,12.0,30.0
233,0,34,3.0,1,0,13.0,31.0
234,1,71,5.0,3,0,12.0,48.0
235,1,30,1.0,1,0,15.0,41.0
236,0,79,1.0,2,0,14.0,63.0
237,0,18,3.0,3,1,11.0,43.0
238,0,54,,1,1,14.0,33.0
239,0,62,1.0,2,0,3.0,25.0
240,0,49,4.0,3,1,15.0,28.0
241,0,94,9.0,1,0,20.0,30.0
242,0,17,3.0,2,0,8.0,25.0
243,1,94,7.0,3,1,14.0,41.0
244,0,57,5.0,2,0,8.0,43.0
245,1,6,2.0,2,0,1.0,16.0
246,1,63,7.0,3,0,9.0,26.0
247,1,62,2.0,3,1,13.0,34.0
248,1,76,1.0,2,1,12.0,39.0
249,0,65,4.0,3,0,9.0,25.0
250,0,53,1.0,1,1,13.0,29.0
251,1,88,2.0,2,1,10.0,40.0
252,1,39,3.0,1,1,13.0,34.0
253,1,82,1.0,1,1,1.0,20.0
254,1,98,5.0,1,0,14.0,56.0
255,1,2,4.0,1,0,5.0,63.0
256,1,16,1.0,3,1,21.0,42.0
257,1,70,7.0,2,1,19.0,51.0
258,1,24,7.0,3,0,9.0,25.0
259,1,70,1.0,3,1,3.0,34.0
260,1,47,1.0,3,1,22.0,38.0
261,0,74,,1,0,8.0,40.0
262,0,97,1.0,3,1,10.0,40.0
263,1,89,1.0,3,0,7.0,32.0
264,0,31,1.0,1,0,11.0,40.0
265,0,74,5.0,3,1,18.0,52.0
266,1,69,5.0,2,0,18.0,28.0
267,2,53,4.0,3,0,11.0,40.0
268,1,60,7.0,1,0,10.0,39.0
269,0,55,3.0,1,1,9.0,63.0
270,1,38,,1,1,17.0,47.0
271,1,51,2.0,1,0,4.0,26.0
272,1,22,5.0,1,1,1.0,30.0
273,0,54,,1,0,19.0,54.0
274,1,66,1.0,1,1,14.0,41.0
275,0,7,1.0,3,0,13.0,62.0
276,1,47,2.0,1,0,22.0,27.0
277,1,69,,3,0,15.0,61.0
278,0,22,,2,1,4.0,20.0
279,1,0,7.0,1,0,11.0,36.0
280,0,15,,2,1,5.0,22.0
281,1,51,2.0,3,1,8.0,45.0
282,0,82,6.0,3,1,11.0,28.0
283,1,34,5.0,1,0,2.0,26.0
284,0,38,2.0,3,1,9.0,31.0
285,1,3,7.0,1,0,12.0,40.0
286,0,99,7.0,2,1,11.0,28.0
287,1,41,7.0,2,0,4.0,32.0
288,0,71,7.0,3,0,9.0,32.0
289,1,43,1.0,3,0,10.0,47.0
290,2,42,4.0,1,0,11.0,40.0
291,1,63,9.0,1,0,4.0,46.0
292,1,42,,2,1,9.0,56.0
293,0,80,7.0,1,1,20.0,28.0
294,0,39,,3,0,5.0,58.0
295,1,64,,1,1,18.0,53.0
296,0,34,1.0,3,1,17.0,45.0
297,1,33,7.0,3,0,16.0,58.0
298,0,69,7.0,3,0,9.0,61.0
299,1,80,2.0,1,1,7.0,61.0
300,0,88,1.0,1,0,9.0,61.0
301,1,54,7.0,3,0,19.0,37.0
302,1,32,1.0,1,0,13.0,40.0
303,1,59,6.0,1,1,14.0,43.0
304,0,36,7.0,1,1,15.0,48.0
305,1,1,2.0,1,0,11.0,43.0
306,0,19,1.0,3,0,18.0,44.0
307,0,55,1.0,2,1,12.0,33.0
308,0,2,4.0,3,0,4.0,34.0
309,1,53,1.0,1,1,21.0,43.0
310,1,0,2.0,1,1,18.0,32.0
311,1,86,1.0,3,0,12.0,60.0
312,0,44,2.0,2,1,6.0,59.0
313,0,70,7.0,1,1,13.0,30.0
314,1,27,5.0,3,1,5.0,55.0
315,1,67,7.0,2,0,12.0,59.0
316,1,72,7.0,1,1,10.0,41.0
317,1,26,9.0,1,1,14.0,43.0
318,1,21,5.0,2,1,18.0,48.0
319,1,32,5.0,1,1,14.0,46.0
320,0,19,1.0,1,0,4.0,20.0
321,1,58,,1,0,18.0,44.0
322,1,19,2.0,1,1,11.0,40.0
323,1,54,1.0,1,1,7.0,44.0
324,0,97,4.0,1,1,15.0,31.0
325,1,98,2.0,2,1,17.0,46.0
326,1,74,2.0,1,0,6.0,37.0
327,1,10,1.0,1,0,12.0,49.0
328,1,87,7.0,1,0,12.0,26.0
329,0,25,9.0,3,1,12.0,33.0
330,0,78,7.0,3,1,7.0,58.0
331,0,87,1.0,1,1,3.0,19.0
332,1,23,1.0,3,0,14.0,39.0
333,1,25,2.0,2,1,8.0,52.0
334,1,71,2.0,2,1,3.0,18.0
335,1,20,,2,0,8.0,34.0
336,1,91,7.0,3,0,3.0,37.0
337,1,67,6.0,3,1,12.0,38.0
338,1,33,1.0,1,0,19.0,59.0
339,1,56,1.0,1,0,12.0,37.0
340,0,39,6.0,1,1,17.0,44.0
341,0,10,2.0,1,0,5.0,41.0
342,0,40,1.0,3,0,2.0,30.0
343,1,76,3.0,2,0,13.0,60.0
344,1,91,,3,1,4.0,44.0
345,1,74,1.0,3,1,17.0,28.0
346,0,68,2.0,1,0,3.0,36.0
347,0,50,2.0,1,0,9.0,52.0
348,0,20,5.0,1,1,9.0,37.0
349,1,35,7.0,3,0,4.0,36.0
350,1,47,1.0,1,1,9.0,40.0
351,0,69,1.0,1,1,2.0,18.0
352,0,12,5.0,1,0,4.0,38.0
353,1,9,,1,0,3.0,37.0
354,1,87,3.0,1,0,9.0,37.0
355,1,97,5.0,1,1,3.0,38.0
356,1,10,9.0,3,0,5.0,42.0
357,1,21,,2,0,18.0,48.0
358,1,54,,1,0,18.0,32.0
359,1,2,7.0,2,1,6.0,59.0
360,1,64,3.0,1,1,19.0,61.0
361,1,59,1.0,1,1,2.0,18.0
362,1,47,2.0,3,1,18.0,43.0
363,1,82,5.0,1,1,7.0,29.0
364,1,96,2.0,2,0,11.0,41.0
365,1,98,3.0,3,0,15.0,41.0
366,1,7,9.0,3,0,19.0,63.0
367,1,93,7.0,1,1,12.0,32.0
368,1,32,2.0,3,0,6.0,31.0
369,0,19,2.0,1,1,9.0,26.0
370,0,91,8.0,2,1,3.0,19.0
371,0,7,2.0,1,0,7.0,63.0
372,1,19,3.0,2,1,4.0,30.0
373,1,95,1.0,3,1,1.0,17.0
374,0,81,2.0,1,1,8.0,25.0
375,0,13,7.0,1,1,7.0,41.0
376,1,60,2.0,1,1,19.0,51.0
377,0,65,6.0,1,0,1.0,18.0
378,1,98,5.0,1,0,17.0,43.0
379,0,2,7.0,3,1,4.0,37.0
380,1,66,3.0,1,0,17.0,61.0
381,1,99,,2,0,1.0,21.0
382,0,68,1.0,1,1,7.0,32.0
383,0,37,,2,0,14.0,39.0
384,1,70,2.0,2,0,17.0,41.0
385,0,69,1.0,3,0,9.0,51.0
386,1,63,6.0,1,0,5.0,27.0
387,0,34,2.0,1,0,22.0,40.0
388,1,53,2.0,1,1,11.0,51.0
389,1,97,9.0,2,1,17.0,42.0
390,0,83,1.0,2,0,3.0,20.0
391,0,80,6.0,1,0,16.0,47.0
392,0,38,3.0,1,0,13.0,39.0
393,0,35,7.0,1,1,9.0,62.0
394,1,70,1.0,3,1,16.0,40.0
395,0,28,5.0,3,1,9.0,41.0
396,1,98,8.0,3,1,16.0,50.0
397,1,86,2.0,2,1,5.0,36.0
398,1,20,5.0,2,0,11.0,48.0
399,0,26,7.0,2,1,16.0,41.0
400,1,86,2.0,1,0,5.0,55.0
401,1,56,5.0,1,0,15.0,31.0
402,0,9,5.0,2,0,22.0,40.0
403,1,40,,1,1,17.0,42.0
404,0,92,2.0,2,1,4.0,22.0
405,1,19,7.0,3,1,14.0,46.0
406,1,58,2.0,3,0,12.0,30.0
407,1,82,,3,1,15.0,38.0
408,0,79,2.0,2,0,11.0,26.0
409,1,84,1.0,1,1,13.0,39.0
410,1,14,,1,1,11.0,27.0
411,1,84,2.0,3,0,12.0,40.0
412,1,65,4.0,3,0,19.0,57.0
413,0,79,,3,1,19.0,60.0
414,0,12,1.0,3,0,10.0,41.0
415,1,20,2.0,2,1,18.0,62.0
416,1,14,,1,1,1.0,20.0
417,1,37,6.0,1,0,15.0,46.0
418,1,56,,1,0,6.0,59.0
419,1,34,7.0,2,0,17.0,36.0
420,0,93,9.0,3,0,7.0,59.0
421,1,26,5.0,1,1,2.0,18.0
422,0,78,7.0,2,0,1.0,15.0
423,0,43,,1,0,9.0,61.0
424,0,77,1.0,3,0,9.0,39.0
425,1,60,5.0,1,1,20.0,64.0
426,1,10,7.0,2,0,8.0,45.0
427,0,77,9.0,1,1,2.0,21.0
428,1,0,1.0,3,1,14.0,40.0
429,1,7,4.0,3,1,21.0,39.0
430,1,46,2.0,3,1,11.0,44.0
431,0,8,1.0,2,1,18.0,61.0
432,0,83,7.0,2,1,10.0,27.0
433,0,94,3.0,2,0,15.0,53.0
434,0,93,2.0,1,1,19.0,22.0
435,0,5,8.0,1,0,1.0,18.0
436,0,75,4.0,1,0,18.0,60.0
437,0,24,7.0,2,1,17.0,41.0
438,0,25,3.0,3,1,13.0,28.0
439,1,26,,2,0,10.0,43.0
440,1,46,8.0,1,0,10.0,40.0
441,1,74,4.0,1,0,11.0,43.0
442,0,2,2.0,1,0,1.0,16.0
443,1,21,6.0,3,1,10.0,45.0
444,1,32,7.0,1,1,8.0,50.0
445,0,91,2.0,1,0,5.0,33.0
446,1,73,4.0,2,1,4.0,39.0
447,1,98,6.0,1,1,1.0,16.0
448,1,34,4.0,3,0,3.0,22.0
449,1,74,7.0,3,1,6.0,43.0
450,1,5,9.0,1,1,18.0,42.0
451,2,37,4.0,3,0,11.0,40.0
452,1,22,3.0,1,1,5.0,58.0
453,2,81,4.0,3,0,11.0,40.0
454,2,58,1.0,2,1,11.0,40.0
455,0,97,7.0,1,1,5.0,26.0
456,0,47,7.0,2,1,17.0,42.0
457,1,70,2.0,3,1,17.0,37.0
458,0,57,7.0,2,1,18.0,48.0
459,1,88,7.0,1,1,13.0,31.0
460,1,0,7.0,2,1,16.0,31.0
461,1,19,1.0,1,1,14.0,38.0
462,1,32,7.0,2,1,5.0,57.0
463,1,9,2.0,1,1,20.0,55.0
464,1,32,,1,1,10.0,59.0
465,1,54,2.0,2,1,14.0,41.0
466,0,84,7.0,2,1,2.0,26.0
467,0,51,3.0,2,0,15.0,63.0
468,1,11,3.0,3,1,8.0,43.0
469,0,91,2.0,3,1,3.0,21.0
470,0,22,5.0,1,0,1.0,16.0
471,1,82,2.0,2,0,14.0,61.0
472,1,38,2.0,1,1,8.0,27.0
473,0,2,1.0,1,1,20.0,40.0
474,1,86,9.0,2,0,18.0,34.0
475,0,0,7.0,2,0,1.0,21.0
476,0,65,,1,0,14.0,28.0
477,1,32,2.0,3,1,13.0,57.0
478,1,65,,2,1,5.0,56.0
479,1,11,4.0,1,1,4.0,23.0
480,2,67,1.0,1,1,11.0,40.0
481,1,68,6.0,1,0,8.0,27.0
482,0,33,1.0,1,0,20.0,55.0
483,0,35,5.0,2,0,9.0,44.0
484,0,64,7.0,1,0,22.0,43.0
485,1,23,7.0,3,0,20.0,43.0
486,1,0,7.0,2,1,15.0,62.0
487,1,70,1.0,1,0,10.0,38.0
488,1,24,3.0,1,1,10.0,37.0
489,1,18,5.0,1,1,4.0,46.0
490,1,44,6.0,1,0,6.0,25.0
491,0,45,3.0,2,1,19.0,41.0
492,0,54,2.0,1,0,21.0,41.0
493,1,83,7.0,1,1,5.0,57.0
494,0,33,7.0,1,0,9.0,42.0
495,0,91,2.0,1,1,6.0,58.0
496,1,25,2.0,2,1,11.0,41.0
497,1,96,3.0,1,1,11.0,43.0
498,1,58,7.0,3,1,10.0,39.0
499,0,39,2.0,2,0,19.0,56.0
500,0,19,5.0,2,1,10.0,25.0
501,1,94,,3,0,19.0,40.0
502,1,39,7.0,1,0,18.0,47.0
503,0,87,1.0,2,1,10.0,28.0
504,0,93,7.0,3,1,7.0,22.0
505,1,40,,3,1,10.0,51.0
506,1,43,5.0,1,0,21.0,32.0
507,1,98,1.0,1,0,7.0,46.0
508,1,94,3.0,1,1,11.0,46.0
509,0,64,2.0,2,1,21.0,38.0
510,1,61,,1,0,2.0,25.0
511,1,92,1.0,3,0,10.0,35.0
512,0,76,2.0,1,0,6.0,62.0
513,2,30,4.0,1,0,11.0,40.0
514,0,9,2.0,1,1,4.0,21.0
515,1,55,4.0,3,0,8.0,28.0
516,0,23,2.0,1,0,20.0,59.0
517,1,73,3.0,1,1,3.0,32.0
518,0,60,5.0,1,1,10.0,26.0
519,0,83,,1,1,1.0,17.0
520,1,66,2.0,2,1,15.0,53.0
521,1,29,1.0,3,0,16.0,39.0
522,1,64,,2,1,16.0,41.0
523,1,44,2.0,2,1,16.0,43.0
524,1,16,5.0,1,0,11.0,55.0
525,0,64,7.0,1,1,9.0,37.0
526,2,9,1.0,1,1,11.0,40.0
527,1,81,2.0,1,1,9.0,27.0
528,1,10,1.0,1,0,4.0,38.0
529,0,18,5.0,2,1,10.0,28.0
530,0,2,7.0,1,0,15.0,43.0
531,1,94,2.0,3,0,1.0,24.0
532,1,25,2.0,2,0,19.0,56.0
533,0,40,5.0,1,0,11.0,36.0
534,1,2,,1,0,12.0,63.0
535,1,67,,2,0,3.0,24.0
536,1,64,7.0,2,0,16.0,58.0
537,1,16,9.0,3,0,7.0,28.0
538,1,33,7.0,1,1,5.0,61.0
539,0,53,1.0,3,0,15.0,42.0
540,1,80,7.0,1,0,1.0,16.0
541,1,23,7.0,2,1,13.0,51.0
542,1,78,7.0,1,0,18.0,50.0
543,0,9,5.0,2,1,17.0,44.0
544,0,51,7.0,3,1,5.0,27.0
545,1,43,1.0,1,1,18.0,39.0
546,1,80,1.0,1,1,12.0,36.0
547,1,22,1.0,1,0,5.0,21.0
548,2,84,4.0,3,1,11.0,40.0
549,0,84,5.0,1,1,2.0,32.0
550,1,16,5.0,1,0,15.0,41.0
551,1,8,2.0,3,0,9.0,30.0
552,0,66,7.0,3,1,20.0,39.0
553,1,62,6.0,2,1,7.0,38.0
554,1,33,1.0,1,1,7.0,62.0
555,0,99,3.0,1,0,4.0,47.0
556,1,69,,1,0,11.0,60.0
557,1,67,7.0,2,1,18.0,56.0
558,1,96,,1,0,8.0,44.0
559,1,39,5.0,3,1,16.0,29.0
560,1,1,1.0,2,0,8.0,64.0
561,1,99,,1,0,12.0,40.0
562,1,88,,1,0,17.0,47.0
563,0,25,4.0,1,1,19.0,43.0
564,1,7,5.0,3,0,7.0,34.0
565,0,30,7.0,1,1,16.0,58.0
566,1,66,2.0,3,1,9.0,39.0
567,0,73,2.0,2,0,16.0,52.0
568,0,32,7.0,1,0,13.0,60.0
569,0,30,4.0,1,0,10.0,41.0
570,0,14,2.0,1,1,15.0,39.0
571,1,30,9.0,1,0,6.0,59.0
572,0,0,1.0,3,1,5.0,50.0
573,0,39,,1,0,2.0,23.0
574,0,95,2.0,1,0,20.0,27.0
575,0,64,2.0,3,1,11.0,61.0
576,0,98,5.0,1,1,7.0,40.0
577,1,41,3.0,1,1,19.0,61.0
578,1,72,,3,1,3.0,22.0
579,1,89,1.0,1,0,12.0,43.0
580,0,83,2.0,1,1,14.0,42.0
581,1,32,2.0,1,1,16.0,48.0
582,2,21,4.0,2,0,11.0,40.0
583,0,97,1.0,1,0,4.0,31.0
584,1,10,7.0,2,1,19.0,22.0
585,1,66,1.0,1,1,10.0,39.0
586,1,63,7.0,1,0,4.0,18.0
587,0,43,1.0,1,1,19.0,51.0
588,0,15,9.0,1,0,11.0,54.0
589,0,76,2.0,1,1,1.0,22.0
590,1,85,1.0,1,1,11.0,29.0
591,0,16,9.0,2,0,16.0,43.0
592,0,73,7.0,1,0,2.0,25.0
593,0,64,,1,0,4.0,33.0
594,0,74,,1,0,13.0,37.0
595,0,72,2.0,1,0,22.0,44.0
596,1,9,3.0,2,0,13.0,49.0
597,1,6,7.0,1,0,6.0,63.0
598,0,25,2.0,3,0,12.0,50.0
599,2,48,2.0,1,1,11.0,40.0
600,0,65,6.0,1,1,8.0,43.0
601,0,56,5.0,3,1,4.0,25.0
602,1,0,,3,1,9.0,25.0
603,1,28,2.0,2,0,11.0,30.0
604,1,72,4.0,2,0,3.0,19.0
605,0,13,7.0,1,1,5.0,45.0
606,1,62,7.0,1,1,2.0,28.0
607,1,55,1.0,1,0,15.0,41.0
608,1,55,5.0,3,1,12.0,37.0
609,1,32,1.0,1,0,1.0,17.0
610,0,45,2.0,1,1,15.0,59.0
611,0,58,7.0,1,1,16.0,31.0
612,0,50,1.0,1,0,14.0,55.0
613,1,4,3.0,3,0,17.0,28.0
614,1,45,7.0,1,1,11.0,22.0
615,1,93,3.0,1,0,19.0,61.0
616,1,36,1.0,3,0,6.0,22.0
617,1,81,3.0,1,0,15.0,57.0
618,0,17,7.0,2,1,18.0,55.0
619,0,39,3.0,1,0,20.0,40.0
620,1,54,2.0,1,1,5.0,44.0
621,0,78,,3,0,14.0,53.0
622,0,18,2.0,1,0,17.0,49.0
623,0,52,3.0,3,0,4.0,29.0
624,0,44,7.0,1,1,13.0,41.0
625,1,33,9.0,3,1,7.0,43.0
626,0,12,7.0,1,0,2.0,25.0
627,1,24,,3,0,10.0,47.0
628,1,14,2.0,1,0,13.0,36.0
629,0,29,7.0,3,0,6.0,57.0
630,0,90,3.0,2,1,17.0,31.0
631,1,33,1.0,2,0,17.0,51.0
632,0,67,1.0,1,0,1.0,19.0
633,0,51,,3,1,11.0,31.0
634,1,35,7.0,1,0,15.0,39.0
635,1,78,,1,1,9.0,41.0
636,1,42,,1,0,19.0,46.0
637,1,60,1.0,3,0,13.0,41.0
638,0,19,7.0,3,0,13.0,50.0
639,0,51,7.0,1,0,16.0,43.0
640,0,12,9.0,3,1,10.0,42.0
641,0,86,7.0,2,0,3.0,43.0
642,0,9,3.0,1,0,12.0,45.0
643,1,48,9.0,1,1,10.0,35.0
644,0,59,1.0,2,0,2.0,18.0
